Feature,Importance,Feature_clean
cat__Father's occupation_23,4.242182543101029e-05,Father's occupation_23
cat__Mother's qualification_20,4.2079858372739e-05,Mother's qualification_20
cat__Mother's qualification_21,4.033451476407368e-05,Mother's qualification_21
cat__Father's occupation_40,3.902049717687962e-05,Father's occupation_40
cat__Father's occupation_45,3.868640677526009e-05,Father's occupation_45
cat__Father's occupation_30,3.6143193127108235e-05,Father's occupation_30
cat__Father's qualification_17,3.5615302090112505e-05,Father's qualification_17
cat__Mother's qualification_9,3.12437961776054e-05,Mother's qualification_9
cat__Nacionality_15,3.076818902064831e-05,Nacionality_15
cat__Mother's occupation_26,2.9865935836648117e-05,Mother's occupation_26
cat__Application mode_11,2.7784070804627512e-05,Application mode_11
cat__Father's qualification_32,2.69365286425023e-05,Father's qualification_32
cat__Nacionality_17,2.608005328253235e-05,Nacionality_17
cat__Mother's qualification_27,2.5027190422625333e-05,Mother's qualification_27
cat__Father's qualification_25,2.442866182374633e-05,Father's qualification_25
cat__Mother's qualification_6,2.4405258190775442e-05,Mother's qualification_6
cat__Father's occupation_27,2.4038540163346892e-05,Father's occupation_27
cat__Nacionality_4,2.313240966852061e-05,Nacionality_4
cat__Mother's occupation_31,2.090106057316902e-05,Mother's occupation_31
cat__Father's qualification_34,2.0314209564828953e-05,Father's qualification_34
cat__Application mode_10,1.90196020124696e-05,Application mode_10
cat__Previous qualification_8,1.8713042552472385e-05,Previous qualification_8
cat__Nacionality_20,1.7172101482013793e-05,Nacionality_20
cat__Father's occupation_28,1.632196203644824e-05,Father's occupation_28
cat__Nacionality_13,1.2736076432152277e-05,Nacionality_13
cat__Father's qualification_6,1.1632062823549436e-05,Father's qualification_6
cat__Nacionality_6,9.967123670183948e-06,Nacionality_6
cat__Mother's qualification_18,8.407370158238697e-06,Mother's qualification_18
cat__Application mode_18,8.351673242106397e-06,Application mode_18
cat__Mother's occupation_25,5.988649955798861e-06,Mother's occupation_25
cat__Father's qualification_15,5.5776922186761825e-06,Father's qualification_15
cat__Previous qualification_10,5.14639978985085e-06,Previous qualification_10
cat__Father's qualification_19,5.126984962124656e-06,Father's qualification_19
cat__Previous qualification_5,4.794567374127899e-06,Previous qualification_5
cat__Father's occupation_46,3.655342084654126e-06,Father's occupation_46
cat__Mother's qualification_11,3.0712083400550594e-06,Mother's qualification_11
cat__Father's occupation_32,2.9971962932277416e-06,Father's occupation_32
cat__Father's qualification_18,2.3545007288961725e-06,Father's qualification_18
cat__Nacionality_5,1.5847307582145583e-06,Nacionality_5
cat__Nacionality_2,1.5790855735904007e-06,Nacionality_2
cat__Mother's occupation_24,1.405352620526886e-06,Mother's occupation_24
cat__Mother's qualification_14,5.69066144725449e-08,Mother's qualification_14
